# Rime user dictionary
#@/db_name	pinyin_simp.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	31502
#@/user_id	sylvan-macbook
a 	啊	c=37 d=1.04009 t=30881
sheng shi 	省市	c=1 d=1 t=26821
sheng tai 	生态	c=1 d=1 t=15242
sheng xu 	生需	c=1 d=1 t=25777
sheng yi 	生意	c=2 d=1.00001 t=2594
sheng yu 	剩余	c=5 d=2.67093 t=30611
sheng yu 	生育	c=1 d=1 t=13979
sheng yu 	胜于	c=0 d=0.0109701 t=31502
shi 	世	c=1 d=1 t=24643
shi 	事	c=9 d=1.03271 t=24503
shi 	市	c=1 d=1 t=28038
shi 	式	c=6 d=1 t=18866
shi 	时	c=32 d=0.524663 t=31502
shi 	是	c=585 d=3.10963 t=31502
shi 	氏	c=3 d=1 t=30385
shi 	食	c=1 d=1 t=31233
shi ba 	是吧	c=5 d=1.58314 t=13538
shi bai 	失败	c=13 d=1 t=31043
shi bu 	是不	c=6 d=1 t=28386
shi bu shi 	是不是	c=19 d=1.00703 t=20765
shi ce 	实测	c=1 d=1 t=16828
shi cha 	时差	c=2 d=1.97045 t=26763
shi chuan 	试穿	c=2 d=0.0192547 t=31502
shi de 	使得	c=4 d=2.98506 t=20022
shi du 	适度	c=1 d=1 t=18709
shi fang 	释放	c=2 d=1.85642 t=9696
shi fen 	十分	c=2 d=1.00005 t=26567
shi fen zhong 	十分钟	c=1 d=1 t=26571
shi feng 	适逢	c=1 d=1 t=26570
shi fou 	是否	c=15 d=0.301442 t=31502
shi fu 	师傅	c=1 d=1 t=2222
shi ge 	是个	c=6 d=1.25229 t=30633
shi gu 	事故	c=1 d=1 t=13802
shi guo 	试过	c=2 d=1 t=23159
shi hang 	世行	c=1 d=1 t=11424
shi he 	适合	c=6 d=1.90484 t=29179
shi hou 	事后	c=1 d=0.045502 t=31502
shi hou 	时候	c=54 d=0.310802 t=31502
shi ji 	十几	c=1 d=1 t=10783
shi ji 	实际	c=29 d=3.63868 t=31362
shi ji tian 	是几天	c=1 d=1 t=10782
shi jia 	试驾	c=1 d=1 t=27329
shi jian 	事件	c=3 d=0.0916297 t=31502
shi jian 	实践	c=3 d=1 t=11081
shi jian 	时间	c=42 d=0.0879366 t=31502
shi jie 	世界	c=3 d=1 t=30003
shi jin 	使劲	c=1 d=1 t=11568
shi kun chong 	是昆虫	c=1 d=1 t=19379
shi le 	试了	c=19 d=1.00001 t=23306
shi le xia 	试了下	c=2 d=1.99005 t=21031
shi lei 	石磊	c=1 d=1 t=21034
shi li 	实例	c=2 d=1 t=18277
shi li 	实力	c=2 d=1 t=24711
shi li 	示例	c=2 d=0.00670434 t=31502
shi ma 	是吗	c=1 d=1 t=11538
shi mian 	失眠	c=1 d=1 t=2515
shi nei 	室内	c=2 d=1.99501 t=9656
shi pin 	视频	c=11 d=0.0642698 t=31502
shi pin 	食品	c=1 d=1 t=27970
shi qing 	事情	c=16 d=0.690848 t=31502
shi qu 	失去	c=1 d=1 t=2123
shi ri 	时日	c=1 d=0.00346515 t=31502
shi sha 	是啥	c=1 d=1 t=19836
shi shi 	事实	c=3 d=1.64082 t=24791
shi shi 	实事	c=1 d=1 t=24703
shi shi 	实时	c=1 d=1 t=7408
shi shi 	试试	c=29 d=1.00867 t=31502
shi shi kan 	试试看	c=1 d=1 t=19382
shi ti 	实体	c=1 d=1 t=12970
shi ti dian 	实体店	c=1 d=1 t=17666
shi tiao 	失调	c=1 d=1 t=9620
shi wang 	失望	c=2 d=1.99501 t=24464
shi wu 	事物	c=3 d=1.17996 t=24805
shi wu 	十五	c=1 d=0.0884781 t=31502
shi wu 	失误	c=1 d=1 t=7689
shi xia 	试下	c=3 d=1 t=21802
shi xia wu 	是下午	c=1 d=1 t=21572
shi xian 	实现	c=16 d=1.20089 t=30213
shi xiao 	失效	c=3 d=0.529935 t=31502
shi yan 	实验	c=1 d=1 t=23553
shi ye 	视野	c=1 d=1 t=24422
shi ye bu 	事业部	c=1 d=1 t=1679
shi yi 	事宜	c=1 d=1 t=2853
shi yi yue 	十一月	c=1 d=1 t=29764
shi ying 	适应	c=3 d=0.00171849 t=31502
shi yong 	使用	c=35 d=0.951156 t=31502
shi yong 	实用	c=1 d=1 t=26950
shi yong 	试用	c=1 d=1 t=9368
shi yong 	食用	c=1 d=1 t=10133
shi zai 	实在	c=1 d=1 t=5253
shi zhan 	实战	c=1 d=1 t=15600
shi zhe 	试着	c=1 d=1 t=14010
shi zhi 	是指	c=1 d=1 t=9101
shi zhong 	适中	c=1 d=1 t=9310
shi zu 	十足	c=1 d=0.0554327 t=31502
shou 	售	c=3 d=1.01284 t=16878
shou 	手	c=10 d=1 t=28596
shou 	收	c=3 d=1 t=25344
shou 	首	c=1 d=1 t=4767
shou bu dao 	收不到	c=1 d=1 t=11229
shou chang 	收长	c=1 d=1 t=16025
shou dao 	收到	c=3 d=0.460704 t=31502
shou dong 	手动	c=3 d=1 t=30760
shou er 	首尔	c=1 d=1 t=22056
shou fei 	收费	c=1 d=1 t=7291
shou gong 	手工	c=1 d=0.869358 t=31502
shou ji 	手机	c=10 d=1 t=30685
shou ji hao 	手机好	c=2 d=1.00003 t=25547
shou li 	手里	c=2 d=1 t=20015
shou pan 	收盘	c=1 d=1 t=26837
shou qi 	手气	c=1 d=1 t=21404
shou shi 	手势	c=1 d=0.960789 t=31502
shou shou 	收受	c=1 d=1 t=25076
shou xian 	首先	c=1 d=0.00133343 t=31502
shou xin 	授信	c=19 d=2.21952 t=25703
shou ye 	首页	c=4 d=2.67063 t=30157
shou yi 	收益	c=1 d=1 t=28594
shou zhi 	手指	c=2 d=1.99501 t=23848
shu 	书	c=4 d=1 t=24774
shu 	数	c=2 d=1 t=5812
shu 	熟	c=6 d=1 t=28100
shu 	竖	c=0 d=0.000185476 t=31502
shu 	输	c=1 d=1 t=1912
shu biao 	鼠标	c=10 d=1.81425 t=31502
shu chu 	输出	c=1 d=1 t=13632
shu du 	数度	c=1 d=1 t=15955
shu fu 	舒服	c=5 d=1 t=18118
shu ji 	书籍	c=2 d=0.00663763 t=31502
shu ji 	书记	c=1 d=0.00914087 t=31502
shu ju 	数据	c=12 d=0.878104 t=31502
shu ju liang 	数据量	c=1 d=1 t=20091
shu lian 	熟练	c=5 d=1 t=23565
shu liang 	数量	c=1 d=1 t=5758
shu pai 	竖排	c=1 d=0.0018734 t=31502
shu qian 	书签	c=9 d=0.491644 t=31502
shu qian lan 	书签栏	c=1 d=1 t=17434
shu ru 	输入	c=15 d=1.6952 t=31502
shu ru fa 	输入法	c=2 d=1 t=23542
shu ru kuang 	输入框	c=7 d=1.26982 t=27064
shu shi 	舒适	c=0 d=0.1 t=26423
shu shi chi chi 	舒适迟迟	c=1 d=1 t=26424
shu xi 	熟悉	c=13 d=1.01477 t=26637
shu xia 	树下	c=1 d=1 t=10678
shu xian 	竖线	c=1 d=1 t=30176
shu xing 	属性	c=2 d=1 t=27081
shu xu 	熟需	c=1 d=1 t=25793
shu xu guan 	鼠须管	c=9 d=2.54721 t=31502
shu yu 	属于	c=1 d=1 t=18740
shu zhi 	数值	c=2 d=1.05029 t=11095
shu zhuo 	书桌	c=1 d=1 t=323
shu zi 	数字	c=1 d=1 t=9014
shu zu 	数组	c=10 d=3.5423 t=21305
shua 	刷	c=13 d=1.01777 t=29807
shua 	耍	c=4 d=1.97045 t=22060
shua shua 	刷刷	c=1 d=1 t=7471
shua shua 	耍耍	c=1 d=1 t=20987
shua tou 	刷头	c=1 d=1 t=9249
shua xin 	刷新	c=10 d=0.549456 t=31502
shuai 	甩	c=1 d=1 t=8031
shuai ge 	帅哥	c=1 d=1 t=22482
shuan 	栓	c=2 d=0.0918512 t=31502
shuan le 	栓了	c=3 d=1.10539 t=30383
shuan shi 	栓是	c=1 d=1 t=9480
shuan shuan 	栓栓	c=1 d=1 t=26719
shuang 	双	c=7 d=0.985112 t=31502
shuang chong 	双重	c=0 d=0.1 t=2967
shuang fang 	双方	c=1 d=1 t=6724
shuang pin 	双拼	c=7 d=0.983554 t=31502
shuang wang 	双亡	c=1 d=1 t=19745
shuang xiang 	双向	c=2 d=1 t=11037
shui 	水	c=5 d=1.85642 t=29298
shui 	睡	c=4 d=1.00004 t=26546
shui 	谁	c=7 d=1 t=29942
shui ba 	睡吧	c=1 d=1 t=27486
shui bu zhao 	睡不着	c=1 d=1 t=2520
shui guo 	水果	c=1 d=1 t=27139
shui li 	水利	c=1 d=1 t=24240
shui yi 	睡衣	c=1 d=1 t=4522
shui you kong 	谁有空	c=1 d=1 t=13417
shui zai 	谁在	c=1 d=1 t=9834
shun bian 	顺便	c=5 d=1.00089 t=27137
shun shou 	顺手	c=2 d=1 t=30727
shun xu 	顺序	c=2 d=1.26448 t=8008
shuo 	说	c=69 d=0.0796198 t=31502
shuo cuo 	说错	c=1 d=1 t=6740
shuo hao 	说好	c=2 d=1 t=13108
shuo hua 	说话	c=4 d=1.00613 t=29924
shuo le 	说了	c=1 d=0.00937227 t=31502
shuo ming 	说明	c=4 d=0.708723 t=31502
shuo o 	说哦	c=1 d=1 t=6008
shuo wen 	说文	c=1 d=1 t=9207
shuo xia 	说下	c=1 d=1 t=30725
si 	丝	c=1 d=0.146607 t=31502
si 	四	c=2 d=1 t=9214
si 	思	c=11 d=2.46691 t=30330
si 	死	c=4 d=1 t=30280
si chuan 	四川	c=1 d=1 t=10742
si hu 	似乎	c=2 d=0.0829383 t=31502
si hua 	丝滑	c=1 d=1 t=9757
si juan 	丝绢	c=1 d=0.0658748 t=31502
si kao 	思考	c=6 d=0.941764 t=31502
si lu 	思路	c=1 d=1 t=27526
si wei 	思维	c=8 d=1.956 t=24406
si wen 	斯文	c=1 d=1 t=23223
si xiang 	思想	c=4 d=1.00024 t=24808
si yang 	饲养	c=1 d=1 t=11042
song 	送	c=3 d=1 t=13451
song dao 	送到	c=1 d=1 t=274
sou 	搜	c=5 d=1 t=29242
sou gou 	搜狗	c=1 d=0.786628 t=31502
sou su o 	搜速哦	c=1 d=1 t=17149
sou suo 	搜索	c=9 d=1.28584 t=31502
su 	速	c=3 d=1 t=22481
su cheng 	俗称	c=1 d=1 t=3881
su du 	速度	c=2 d=1 t=20088
su ju 	速剧	c=1 d=1 t=28908
su ju li 	速距离	c=1 d=1 t=20090
su ru 	速入	c=2 d=1 t=24317
suan 	算	c=23 d=1.40454 t=28679
suan 	酸	c=4 d=1 t=26874
suan fa 	算法	c=3 d=1 t=20825
suan le 	算了	c=1 d=1 t=24597
suan shuang 	酸爽	c=1 d=1 t=26722
suan suan 	酸酸	c=1 d=1 t=29237
suan tong 	酸痛	c=4 d=3.7733 t=18502
suan xia 	算下	c=1 d=1 t=12828
sui 	随	c=1 d=1 t=30216
sui bian 	随便	c=7 d=1.00001 t=30236
sui ran 	虽然	c=4 d=1 t=24653
sui shi 	随时	c=1 d=1 t=11073
sui shu 	岁数	c=1 d=0.410656 t=31502
sui yi 	随意	c=1 d=1 t=19817
sun 	损	c=2 d=1 t=5685
sun shi 	损失	c=1 d=1 t=4637
suo 	所	c=3 d=1 t=17150
suo 	索	c=2 d=1 t=23757
suo ding 	锁定	c=1 d=1 t=21948
suo suo 	所所	c=1 d=1 t=19150
suo xiao 	缩小	c=1 d=0.941765 t=31502
suo xie 	缩写	c=1 d=1 t=160
suo yi 	所以	c=6 d=1 t=20887
suo you 	所有	c=9 d=0.900325 t=31502
ta 	他	c=33 d=0.0206508 t=31502
ta 	她	c=6 d=0.0399551 t=31502
ta 	它	c=15 d=1.79057 t=25233
ta chu 	踏出	c=1 d=1 t=551
ta chun 	他春	c=1 d=1 t=24084
ta m 	他呒	c=1 d=1 t=29805
ta ma 	他妈	c=1 d=1 t=24630
ta me 	他么	c=1 d=1 t=20889
ta men 	他们	c=6 d=1 t=29802
ta ren 	他人	c=1 d=1 t=1719
tai 	台	c=18 d=1 t=29512
tai 	太	c=46 d=0.412714 t=31502
tai 	态	c=1 d=1 t=10707
tai 	胎	c=2 d=1.00046 t=27112
tai bei 	台北	c=1 d=1 t=22092
tai du 	态度	c=2 d=1 t=17881
tai duo 	太多	c=2 d=1 t=30042
tai gao 	太高	c=1 d=1 t=10959
tai ji 	太极	c=5 d=0.1 t=16786
tai ji dian 	太极点	c=1 d=1 t=16787
tai jiu 	太久	c=1 d=1 t=16915
tai ping 	太平	c=1 d=1 t=19965
tai shao 	太少	c=1 d=1 t=31138
tai wan 	台湾	c=1 d=1 t=15036
tai xiang 	太想	c=1 d=1 t=23131
tai yang xue 	太阳穴	c=1 d=1 t=18201
tai yuan 	太原	c=1 d=1 t=3570
tan 	弹	c=5 d=1 t=13020
tan 	碳	c=1 d=1 t=9681
tan 	覃	c=2 d=1.99501 t=14024
tan 	谈	c=1 d=1 t=4299
tan kuang 	弹框	c=2 d=1 t=30307
tan qi 	叹气	c=1 d=1 t=24259
tan suo 	探索	c=2 d=1 t=24778
tan tao 	探讨	c=1 d=1 t=14257
tang 	唐	c=1 d=1 t=18074
tang 	搪	c=1 d=1 t=28113
tang 	趟	c=1 d=1 t=19850
tang 	躺	c=2 d=1 t=29086
tang zhuan 	躺赚	c=1 d=1 t=20931
tao 	套	c=7 d=1 t=24314
tao 	逃	c=1 d=1 t=11990
tao bao 	淘宝	c=2 d=1 t=29246
tao lun 	讨论	c=8 d=1.26119 t=29857
tao ren 	套人	c=1 d=1 t=30305
tao wa 	套娃	c=1 d=1 t=16240
te 	特	c=3 d=1 t=30470
te bie 	特别	c=3 d=1 t=29603
te ha neng 	特哈能	c=1 d=1 t=17350
te hang 	特行	c=1 d=1 t=26689
te mi na li 	特迷哪里	c=1 d=1 t=23036
te mie le 	特灭了	c=1 d=1 t=18362
te se 	特色	c=1 d=1 t=17036
te shu 	特殊	c=2 d=1 t=10026
te xing 	特性	c=2 d=1.956 t=7214
te yi 	特意	c=1 d=1 t=5467
teng 	疼	c=4 d=1 t=28687
teng xun 	腾讯	c=3 d=1 t=25480
ti 	体	c=1 d=1 t=28102
ti 	提	c=25 d=1.00147 t=31153
ti 	题	c=14 d=1.93506 t=27586
ti ce 	提册	c=1 d=1 t=2911
ti ce 	提测	c=24 d=1.03382 t=31156
ti chu lai 	提出来	c=1 d=1 t=29910
ti dai 	替代	c=1 d=0.00219846 t=31502
ti en 	体嗯	c=1 d=1 t=28322
ti gong 	提供	c=3 d=0.0787302 t=31502
ti huan 	替换	c=9 d=0.863384 t=31502
ti jiao 	提交	c=9 d=1.00004 t=30310
ti li 	体力	c=1 d=1 t=28300
ti mo 	提莫	c=4 d=3.45521 t=6912
ti mu 	题目	c=1 d=1 t=6899
ti qian 	提前	c=5 d=0.013912 t=31502
ti shen 	替身	c=1 d=1 t=23566
ti sheng 	提升	c=6 d=1.78792 t=24833
ti shi 	提示	c=26 d=0.847894 t=31502
ti xi 	体系	c=1 d=1 t=23510
ti xian 	提现	c=1 d=1 t=20967
ti xing 	提醒	c=1 d=0.0131019 t=31502
ti yan 	体验	c=11 d=1 t=23717
ti yu guan 	体育馆	c=1 d=1 t=27052
ti zhi 	体制	c=0 d=0.0140156 t=31502
ti zhi fu hua 	体制腐化	c=1 d=0.140858 t=31502
tian 	填	c=3 d=1 t=22303
tian 	天	c=9 d=1 t=28317
tian 	甜	c=2 d=1.8311 t=26591
tian jia 	添加	c=14 d=0.373439 t=31502
tian keng 	填坑	c=1 d=1 t=22145
tian qi 	天气	c=1 d=1 t=15599
tian tian 	天天	c=0 d=0.1 t=18019
tian tian 	甜甜	c=1 d=1 t=29238
tian tian ta 	天天他	c=1 d=1 t=18020
tian xia 	天下	c=1 d=1 t=25242
tian xie 	填写	c=2 d=1 t=13680
tiao 	挑	c=1 d=1 t=6793
tiao 	条	c=2 d=1 t=25126
tiao 	调	c=9 d=1.99501 t=30762
tiao 	跳	c=4 d=1 t=31192
tiao dao 	跳到	c=1 d=1 t=4207
tiao guo 	跳过	c=1 d=1.00055 t=8599
tiao guo qu 	跳过区	c=1 d=1 t=7560
tiao jian 	条件	c=2 d=1 t=25838
tiao jiao 	调教	c=1 d=0.860708 t=31502
tiao sha 	调啥	c=1 d=1 t=16845
tiao shi 	调试	c=4 d=1.00004 t=18828
tiao tong 	调通	c=4 d=1.23693 t=19663
tiao wan 	调完	c=3 d=1.11136 t=19673
tiao zhe 	跳着	c=3 d=2.6138 t=16913
tiao zheng 	调整	c=17 d=1 t=31377
tiao zhuan 	跳转	c=14 d=1.77884 t=29967
tie 	贴	c=5 d=1 t=31292
tie dian qian 	贴点钱	c=1 d=1 t=12203
ting 	停	c=1 d=1 t=26942
ting 	厅	c=1 d=1 t=27351
ting 	听	c=11 d=1 t=28098
ting 	婷	c=1 d=1 t=3598
ting 	挺	c=20 d=1.00025 t=31280
ting bu 	听不	c=1 d=1 t=17361
ting dao 	听到	c=2 d=1 t=29922
ting diao 	停掉	c=1 d=1 t=10611
ting duo 	挺多	c=6 d=1.09074 t=30443
ting hao 	挺好	c=5 d=0.00181803 t=31502
ting ke 	听课	c=1 d=0.00124951 t=31502
ting kuai 	挺快	c=1 d=0.00125578 t=31502
ting shuo 	听说	c=11 d=1 t=25034
ting suo 	听所	c=1 d=1 t=17709
ting xie 	听写	c=1 d=0.951229 t=31502
tong 	同	c=7 d=1.00016 t=29792
tong 	痛	c=9 d=1.00051 t=21119
tong 	通	c=22 d=0.338258 t=31502
tong bao 	通报	c=1 d=1 t=24573
tong bu 	同步	c=8 d=1 t=31500
tong bu ban ben 	同步版本	c=1 d=1 t=15684
tong gao 	通告	c=1 d=1 t=17362
tong guo 	通过	c=13 d=0.446239 t=31502
tong hang 	同行	c=1 d=1 t=12983
tong ji 	统计	c=3 d=1 t=23508
tong ku 	痛苦	c=1 d=1 t=31131
tong ming 	同名	c=1 d=0.0208584 t=31502
tong qing xin 	同情心	c=1 d=1 t=24628
tong shang 	同上	c=6 d=1.00413 t=28941
tong shi 	同事	c=5 d=1 t=29489
tong shi 	同时	c=1 d=1 t=29490
tong su yi dong 	通俗易懂	c=1 d=1 t=9187
tong xie 	童鞋	c=1 d=1 t=19396
tong xue 	同学	c=2 d=0.00367942 t=31502
tong xun 	通讯	c=1 d=1 t=29468
tong yang 	同样	c=2 d=0.00360656 t=31502
tong yi 	同一	c=1 d=1 t=22593
tong yi 	同意	c=3 d=1.00016 t=23055
tong yi 	统一	c=33 d=1.05291 t=27838
tong yong 	通用	c=14 d=1.10964 t=31381
tong zhi 	通知	c=16 d=1.99501 t=23490
tong zhi quan 	通知全	c=1 d=1 t=19884
tou 	头	c=7 d=1.03502 t=31342
tou 	投	c=2 d=1.00835 t=12753
tou lu 	透露	c=1 d=1 t=29447
tou ming 	透明	c=1 d=1 t=6052
tou su 	投诉	c=11 d=2.76578 t=31338
tou xiang 	头像	c=1 d=1 t=29475
tou yun 	头晕	c=1 d=1 t=2522
tu 	吐	c=7 d=2.1068 t=31184
tu 	图	c=13 d=0.407879 t=31502
tu 	涂	c=2 d=0.0417941 t=31502
tu 	途	c=1 d=1 t=3221
tu biao 	图标	c=6 d=1.69073 t=30905
tu cao 	图槽	c=1 d=1 t=24565
tu chao 	吐抄	c=1 d=1 t=31125
tu chu 	突出	c=1 d=1 t=30032
tu chuang 	图床	c=2 d=0.00616202 t=31502
tu ci 	图次	c=1 d=0.00177315 t=31502
tu di 	土地	c=1 d=1 t=13652
tu fa 	突发	c=1 d=1 t=296
tu ge 	图个	c=1 d=1 t=12218
tu jie 	图解	c=1 d=1 t=12493
tu pian 	图片	c=24 d=0.983901 t=31502
tu piao 	吐票	c=1 d=1 t=30904
tu ran 	突然	c=2 d=1.97531 t=10769
tu shu guan 	图书馆	c=1 d=1 t=24285
tu xue 	吐血	c=1 d=1 t=8609
tuan 	团	c=5 d=1 t=28224
tuan dui 	团队	c=2 d=1 t=26633
tuan gou 	团购	c=2 d=1.58275 t=17756
tuan zhan 	团战	c=1 d=1 t=6897
tui 	推	c=1 d=1 t=3840
tui 	退	c=7 d=1 t=27626
tui chu 	退出	c=5 d=0.240508 t=31502
tui gai 	推改	c=1 d=1 t=15322
tui gai 	退改	c=1 d=1 t=15323
tui guang 	推广	c=1 d=1 t=17521
tui huan 	退还	c=1 d=1 t=12186
tui jian 	推荐	c=16 d=0.251781 t=31502
tui jiao 	腿脚	c=1 d=1 t=23900
tui kuan 	退款	c=6 d=1 t=10167
tui rang 	退让	c=1 d=1 t=6730
tui song 	推送	c=1 d=1 t=9857
tuo 	坨	c=1 d=0.100113 t=30269
tuo dao 	拖到	c=1 d=1 t=9814
tuo feng 	驼峰	c=1 d=1 t=2505
tuo xie 	妥协	c=2 d=1.92774 t=6781
tuo yi 	拖移	c=1 d=1 t=24114
tuo yun 	托运	c=1 d=1 t=3772
tuo zhuai 	拖拽	c=2 d=1.90032 t=320
tuo zhuan 	托转	c=1 d=1 t=298
wa 	哇	c=3 d=2.95551 t=9752
wa 	娃	c=3 d=1.0002 t=16135
wai 	外	c=2 d=1.00001 t=6160
wai bu 	外部	c=3 d=1.98511 t=17308
wai di 	外地	c=1 d=1 t=27053
wai mai 	外卖	c=1 d=1 t=2617
wai mian 	外面	c=2 d=0.106578 t=12036
wai wang 	外网	c=1 d=1 t=20600
wan 	万	c=3 d=1 t=26959
wan 	完	c=72 d=0.870362 t=31502
wan 	晚	c=6 d=1 t=19140
wan 	玩	c=13 d=1 t=28673
wan chen 	完陈	c=8 d=3.76584 t=31388
wan cheng 	完成	c=27 d=0.965759 t=31502
wan dian 	晚点	c=8 d=1.99501 t=27994
wan guo 	万国	c=2 d=1.29969 t=21099
wan huang er 	晚黄而	c=1 d=1 t=4752
wan li 	万历	c=1 d=0.0880368 t=31502
wan mei 	完美	c=1 d=1 t=8089
wan nong 	玩弄	c=1 d=1 t=24635
wan quan 	完全	c=8 d=0.00134683 t=31502
wan shan 	完善	c=7 d=0.0332068 t=31502
wan shang 	完上	c=1 d=1 t=31139
wan shang 	晚上	c=17 d=1.96396 t=30272
wan shen hang gui 	完身行规	c=1 d=1 t=25605
wan shi 	完事	c=1 d=1 t=6586
wan wan 	玩玩	c=3 d=1.00003 t=22405
wan wang 	万网	c=6 d=1 t=20663
wan yi 	万一	c=0 d=0.1 t=7406
wan yi 	玩意	c=8 d=1 t=29590
wan zheng 	完整	c=2 d=1 t=26796
wang 	亡	c=1 d=1 t=19739
wang 	往	c=2 d=1.79057 t=30464
wang 	忘	c=8 d=1 t=30416
wang 	王	c=1 d=1 t=30795
wang 	网	c=4 d=1 t=30414
wang cai 	旺财	c=1 d=0.00123708 t=31502
wang chao 	王朝	c=1 d=0.114178 t=31502
wang chen mo ji 	望尘莫及	c=1 d=1 t=12854
wang dian 	网店	c=1 d=1 t=17664
wang fei 	王菲	c=2 d=1.93707 t=30809
wang fen 	忘分	c=1 d=1 t=21975
wang guan 	网管	c=1 d=1 t=2889
wang ji 	忘记	c=6 d=1.00003 t=27109
wang le 	忘了	c=6 d=1 t=31066
wang luo 	网络	c=4 d=1 t=31067
wang qian 	往前	c=1 d=1 t=23089
wang shang 	网上	c=10 d=1 t=28916
wang wang 	往往	c=1 d=1 t=16958
wang xia 	往下	c=1 d=1 t=18494
wang ye 	网页	c=2 d=1.0005 t=15551
wang zhan 	网站	c=1 d=1 t=31462
wang zhi 	网址	c=5 d=2.19914 t=31460
wei 	为	c=61 d=1.0315 t=31502
wei 	位	c=6 d=0.0450492 t=31502
wei 	味	c=1 d=1 t=27977
wei 	微	c=8 d=1 t=15137
wei 	未	c=18 d=2.48923 t=28708
wei 	韦	c=3 d=1 t=30384
wei bo 	微博	c=4 d=0.00465413 t=31502
wei bo 	微播	c=1 d=0.00419023 t=31502
wei chi 	维持	c=2 d=1 t=29855
wei fa 	违法	c=3 d=1 t=31456
wei hai 	危害	c=1 d=1 t=27968
wei jin 	围巾	c=1 d=1 t=21071
wei kong 	为空	c=1 d=1 t=10333
wei le 	为了	c=1 d=1 t=24433
wei qu 	委屈	c=1 d=1 t=5586
wei ren 	为人	c=1 d=1 t=24378
wei ruan 	微软	c=2 d=0.10435 t=31502
wei sha 	为啥	c=14 d=1.00099 t=28441
wei shen me 	为什么	c=12 d=0.0256041 t=31502
wei sheng 	卫生	c=3 d=0.0229371 t=31502
wei xian 	危险	c=1 d=1 t=18802
wei xiao 	微笑	c=1 d=1 t=29594
wei xin 	威信	c=1 d=1 t=2266
wei xin 	微信	c=50 d=1.00008 t=29595
wei yi 	唯一	c=4 d=1.93239 t=29917
wei yi ge 	为一个	c=1 d=1 t=29902
wei zhang 	违章	c=1 d=1 t=3967
wei zhi 	为止	c=1 d=1 t=22889
wei zhi 	位置	c=10 d=1.0344 t=23813
wei zhi 	未知	c=1 d=1 t=16541
wen 	文	c=18 d=1.25411 t=30628
wen 	汶	c=1 d=1 t=6226
wen 	问	c=40 d=1.0002 t=31039
wen an 	文案	c=2 d=1.94176 t=18559
wen ben 	文本	c=2 d=1 t=24117
wen da 	问答	c=1 d=0.008396 t=31502
wen dang 	文档	c=26 d=0.647265 t=31502
wen di 	文帝	c=1 d=1 t=28682
wen ding 	稳定	c=4 d=1 t=28683
wen jian 	文件	c=22 d=6.72745 t=31502
wen jian jia 	文件夹	c=1 d=0.00286554 t=31502
wen pei 	文配	c=2 d=1 t=25962
wen ti 	问题	c=92 d=0.647412 t=31502
wen wen 	问问	c=22 d=0.00326335 t=31502
wen wen wo 	问问我	c=1 d=1 t=9095
wen xia 	问下	c=2 d=1 t=15312
wen yi 	瘟疫	c=1 d=0.155673 t=31502
wen zhang 	文章	c=20 d=0.961995 t=31502
wen zi 	文字	c=2 d=0.540641 t=31502
wo 	卧	c=1 d=1 t=10747
wo 	我	c=860 d=10.7769 t=31502
wo 	窝	c=1 d=1 t=21198
wo de 	我的	c=1 d=1 t=1864
wo fang 	我方	c=1 d=1 t=26819
wo jue de 	我觉得	c=1 d=0.0019355 t=31502
wo jue de jiu shi zhe yang jiu shi 	我觉得就是这样就是	c=1 d=0.00180897 t=31502
wo m 	我呒	c=3 d=1.96561 t=26884
wo ma 	我妈	c=1 d=1 t=6711
wo men 	我们	c=61 d=0.404542 t=31502
wo meng 	我孟	c=1 d=1 t=27233
wo shi 	我是	c=1 d=1 t=13379
wo yao 	我要	c=1 d=1 t=11550
wo zhe 	我这	c=1 d=1 t=21039
wu 	五	c=3 d=1 t=25597
wu 	伍	c=1 d=0.00882647 t=31502
wu 	务	c=1 d=1 t=27035
wu 	吴	c=0 d=0.000755912 t=31502
wu 	屋	c=1 d=1 t=21235
wu 	无	c=20 d=0.873715 t=31502
wu 	舞	c=0 d=0.00468877 t=31502
wu 	误	c=4 d=1.08418 t=5007
wu 	邬	c=1 d=1 t=3865
wu a yi 	吴阿姨	c=4 d=0.402163 t=31502
wu bao 	误报	c=1 d=1 t=14088
wu dao 	舞蹈	c=2 d=0.493277 t=31502
wu dian 	五点	c=1 d=1 t=9128
wu fa 	无法	c=10 d=0.737123 t=31502
wu gu 	无辜	c=1 d=1 t=13392
wu jie 	误解	c=1 d=1 t=16219
wu li 	物理	c=2 d=0.00621991 t=31502
wu neng 	无能	c=1 d=1 t=27103
wu nian 	五年	c=0 d=0.1 t=30631
wu yi 	五一	c=2 d=1.11418 t=2463
wu yi 	无意	c=1 d=1 t=28837
wu yi ge 	无一个	c=1 d=1 t=22252
wu zang 	五脏	c=0 d=0.1 t=19013
wu zang bu quan 	五脏不全	c=1 d=1 t=19014
wu zhang bu qi 	无长不起	c=1 d=1 t=19012
wu zi 	物资	c=2 d=1.94649 t=2558
xi 	喜	c=0 d=0.1 t=28096
xi 	戏	c=1 d=1 t=28052
xi 	洗	c=1 d=1 t=6595
xi 	系	c=4 d=1 t=20570
xi 	西	c=1 d=1 t=25340
xi chang 	细长	c=2 d=0.0337433 t=31502
